appid,game_name,review_text,voted_up,votes_up,weighted_vote_score,timestamp,period
2191670,Nyanco Impact,I do not recommend,False,4,0.481562793254852295,1676806919,BEFORE_AI_LABEL
2191670,Nyanco Impact,I do not recommend,False,4,0.481562793254852295,1676806919,BEFORE_AI_LABEL
2191670,Nyanco Impact,I do not recommend,False,4,0.481562793254852295,1676806919,BEFORE_AI_LABEL
2191670,Nyanco Impact,I do not recommend,False,4,0.481562793254852295,1676806919,BEFORE_AI_LABEL
2191670,Nyanco Impact,I do not recommend,False,4,0.481562793254852295,1676806919,BEFORE_AI_LABEL
2191670,Nyanco Impact,I do not recommend,False,4,0.481562793254852295,1676806919,BEFORE_AI_LABEL
2191670,Nyanco Impact,I do not recommend,False,4,0.481562793254852295,1676806919,BEFORE_AI_LABEL
2191670,Nyanco Impact,I do not recommend,False,4,0.481562793254852295,1676806919,BEFORE_AI_LABEL
2191670,Nyanco Impact,I do not recommend,False,4,0.481562793254852295,1676806919,BEFORE_AI_LABEL
2191670,Nyanco Impact,I do not recommend,False,4,0.481562793254852295,1676806919,BEFORE_AI_LABEL
2191670,Nyanco Impact,I do not recommend,False,4,0.481562793254852295,1676806919,BEFORE_AI_LABEL
2191670,Nyanco Impact,I do not recommend,False,4,0.481562793254852295,1676806919,BEFORE_AI_LABEL
2191670,Nyanco Impact,I do not recommend,False,4,0.481562793254852295,1676806919,BEFORE_AI_LABEL
2191670,Nyanco Impact,I do not recommend,False,4,0.481562793254852295,1676806919,BEFORE_AI_LABEL
2191670,Nyanco Impact,I do not recommend,False,4,0.481562793254852295,1676806919,BEFORE_AI_LABEL
2191670,Nyanco Impact,I do not recommend,False,4,0.481562793254852295,1676806919,BEFORE_AI_LABEL
2191670,Nyanco Impact,I do not recommend,False,4,0.481562793254852295,1676806919,BEFORE_AI_LABEL
2191670,Nyanco Impact,I do not recommend,False,4,0.481562793254852295,1676806919,BEFORE_AI_LABEL
2191670,Nyanco Impact,I do not recommend,False,4,0.481562793254852295,1676806919,BEFORE_AI_LABEL
2191670,Nyanco Impact,I do not recommend,False,4,0.481562793254852295,1676806919,BEFORE_AI_LABEL
2062940,Territory,"Broken, Boring and slow progression, after crafting and pretty much doing everything you can do in the game, I dont see any point in playing anymore other than for testing and giving the dev feedback that he doesn't appreciate or maybe he just has bad communications skills. Im going on vacation, I'll see where its at in a few months.

Edit: The developers response to my review pretty much sums up his attitude towards any negative feedback in discord.",False,7,0.41679459810256958,1675153430,BEFORE_AI_LABEL
2062940,Territory,"I had high hopes for this game, but it appears it was for naught! First, the mechanics of this game is really clanky. Base building and repair is broken. Some walls can be repaired and some cannot. Second, there are random sounds going off in the game: girl scream, shots, and wolves when nothing is around. When you drop something on the ground, it disappears and ends up in a loot bag somewhere else. It’s a repetitive sandbox of shooting enemies, the seem to resurrect after despawning, crappy loot, and no point to the game overall. We talked with the dev in his Discord, after about the 2nd complaint he started ignoring me and my buddy. I don’t think this guy has any real intention on making this game more mainstream. It’s just a weekend project he toys with after whatever he does in his real life. The developer also seems to have a bad attitude when people make suggestions for change. His excuse is, ‘Do you want everything in the game at the beginning?’ He also banned my buddy from the discord after his numerous complaints, and only reinstated him when I inquired about it, without acknowledging it. I would not recommend this game to anyone. At least not until a lot of the mechanics are fixed, a plot to the game is developed and the dev changes his attitude!

*Developer banned my and my friend after our negative comments on his temper tantrum. I hope I save many from wasting $10 on this waste of a agame. Check out Sons of the Forest for a real Beta!",False,8,0.40420803427696228,1676266130,BEFORE_AI_LABEL
2062940,Territory,"Well, if the the [u][b]zeds[/b] arrived, I left[/u]. It flattened out.What a pity..
                         After all, I do NOT need an n+1 DayZ..",False,2,0.41127052903175354,1678257088,BEFORE_AI_LABEL
2062940,Territory,"i die all the time,i cant craft things,becouse i die.its to hardcore for me.i know the dev working hard on this game.i am sorry to leave bad review.",False,1,0.407089978456497192,1683806234,BEFORE_AI_LABEL
2062940,Territory,"So many bugs I need a can of RAID to play this game. Guns don't reload when you need them to reload. Chopping trees for lumber is more of a chore than actually chopping down a real tree, sometimes you hit the tree and sometimes you just swing and miss even though you have not moved from the spot. The trees don't fall after you get all the wood from them and just disappear randomly. The knife is useless as a weapon and you bleed like a hose with a leak in the side and spray all over the place. Are these developers 15 years old because many of the changes implemented seem like childish pranks. I am tired of Early Release games that should have been trashed from the start.",False,0,0.5,1704035685,BEFORE_AI_LABEL
2062940,Territory,"It's not bad for early access, has the vibes from a couple different games I like to play so was worth it.  It has a ways to go, don't get me wrong but I see some potential here.  With enough support this game could become better with time easily.  Maybe not, it's a friends club it looks like where they support bashing people.",False,1,0.5,1682958832,BEFORE_AI_LABEL
2062940,Territory,"Broken, Boring and slow progression, after crafting and pretty much doing everything you can do in the game, I dont see any point in playing anymore other than for testing and giving the dev feedback that he doesn't appreciate or maybe he just has bad communications skills. Im going on vacation, I'll see where its at in a few months.

Edit: The developers response to my review pretty much sums up his attitude towards any negative feedback in discord.",False,7,0.41679459810256958,1675153430,BEFORE_AI_LABEL
2062940,Territory,"I had high hopes for this game, but it appears it was for naught! First, the mechanics of this game is really clanky. Base building and repair is broken. Some walls can be repaired and some cannot. Second, there are random sounds going off in the game: girl scream, shots, and wolves when nothing is around. When you drop something on the ground, it disappears and ends up in a loot bag somewhere else. It’s a repetitive sandbox of shooting enemies, the seem to resurrect after despawning, crappy loot, and no point to the game overall. We talked with the dev in his Discord, after about the 2nd complaint he started ignoring me and my buddy. I don’t think this guy has any real intention on making this game more mainstream. It’s just a weekend project he toys with after whatever he does in his real life. The developer also seems to have a bad attitude when people make suggestions for change. His excuse is, ‘Do you want everything in the game at the beginning?’ He also banned my buddy from the discord after his numerous complaints, and only reinstated him when I inquired about it, without acknowledging it. I would not recommend this game to anyone. At least not until a lot of the mechanics are fixed, a plot to the game is developed and the dev changes his attitude!

*Developer banned my and my friend after our negative comments on his temper tantrum. I hope I save many from wasting $10 on this waste of a agame. Check out Sons of the Forest for a real Beta!",False,8,0.40420803427696228,1676266130,BEFORE_AI_LABEL
2062940,Territory,"Well, if the the [u][b]zeds[/b] arrived, I left[/u]. It flattened out.What a pity..
                         After all, I do NOT need an n+1 DayZ..",False,2,0.41127052903175354,1678257088,BEFORE_AI_LABEL
2062940,Territory,"i die all the time,i cant craft things,becouse i die.its to hardcore for me.i know the dev working hard on this game.i am sorry to leave bad review.",False,1,0.407089978456497192,1683806234,BEFORE_AI_LABEL
2062940,Territory,"So many bugs I need a can of RAID to play this game. Guns don't reload when you need them to reload. Chopping trees for lumber is more of a chore than actually chopping down a real tree, sometimes you hit the tree and sometimes you just swing and miss even though you have not moved from the spot. The trees don't fall after you get all the wood from them and just disappear randomly. The knife is useless as a weapon and you bleed like a hose with a leak in the side and spray all over the place. Are these developers 15 years old because many of the changes implemented seem like childish pranks. I am tired of Early Release games that should have been trashed from the start.",False,0,0.5,1704035685,BEFORE_AI_LABEL
2062940,Territory,"It's not bad for early access, has the vibes from a couple different games I like to play so was worth it.  It has a ways to go, don't get me wrong but I see some potential here.  With enough support this game could become better with time easily.  Maybe not, it's a friends club it looks like where they support bashing people.",False,1,0.5,1682958832,BEFORE_AI_LABEL
2062940,Territory,"Broken, Boring and slow progression, after crafting and pretty much doing everything you can do in the game, I dont see any point in playing anymore other than for testing and giving the dev feedback that he doesn't appreciate or maybe he just has bad communications skills. Im going on vacation, I'll see where its at in a few months.

Edit: The developers response to my review pretty much sums up his attitude towards any negative feedback in discord.",False,7,0.41679459810256958,1675153430,BEFORE_AI_LABEL
2062940,Territory,"I had high hopes for this game, but it appears it was for naught! First, the mechanics of this game is really clanky. Base building and repair is broken. Some walls can be repaired and some cannot. Second, there are random sounds going off in the game: girl scream, shots, and wolves when nothing is around. When you drop something on the ground, it disappears and ends up in a loot bag somewhere else. It’s a repetitive sandbox of shooting enemies, the seem to resurrect after despawning, crappy loot, and no point to the game overall. We talked with the dev in his Discord, after about the 2nd complaint he started ignoring me and my buddy. I don’t think this guy has any real intention on making this game more mainstream. It’s just a weekend project he toys with after whatever he does in his real life. The developer also seems to have a bad attitude when people make suggestions for change. His excuse is, ‘Do you want everything in the game at the beginning?’ He also banned my buddy from the discord after his numerous complaints, and only reinstated him when I inquired about it, without acknowledging it. I would not recommend this game to anyone. At least not until a lot of the mechanics are fixed, a plot to the game is developed and the dev changes his attitude!

*Developer banned my and my friend after our negative comments on his temper tantrum. I hope I save many from wasting $10 on this waste of a agame. Check out Sons of the Forest for a real Beta!",False,8,0.40420803427696228,1676266130,BEFORE_AI_LABEL
